tlg_author_id,tlg_work_id,author_heading,work_title,canonical_edition,sources_tested,open_text_result,open_text_url,open_text_license,scan_result,scan_url,scan_rights,confidence,proposed_status,next_action,notes,last_checked
1412,001,Pseudo-HERACLITI EPISTULAE,Titulus,"Titulus, ed. T. Kock, Comicorum Atticorum fragmenta, vol. 2, Leipzig: Teubner, 1884: 435. NQ: 1: Comic.",base-3 exact TLG-id lookup; targeted IA query if negative,No exact TLG path found locally; targeted external catalog search pending.,,,,,,high,EDITION_IDENTIFIED,search item-level catalogues,No OCR used; no unverified URL recorded.,2026-08-11
1412,001,Pseudo-HERACLITI EPISTULAE,Titulus,"Titulus, ed. T. Kock, Comicorum Atticorum fragmenta, vol. 2, Leipzig: Teubner, 1884: 435. NQ: 1: Comic.",base-3 exact TLG-id lookup; targeted IA query if negative,No exact TLG path found locally; targeted external catalog search pending.,,,,,,high,EDITION_IDENTIFIED,search item-level catalogues,No OCR used; no unverified URL recorded.,2026-08-11
1412,002,Pseudo-HERACLITI EPISTULAE,Titulus,"Titulus, ed. A. Meineke, Fragmenta comicorum Graecorum, vol. 1, Berlin: Reimer, 1839 (repr. Berlin: De Gruyter, 1970): 422. NQ: 1: Comic.",base-3 exact TLG-id lookup; targeted IA query if negative,No exact TLG path found locally; targeted external catalog search pending.,,,,,,high,EDITION_IDENTIFIED,search item-level catalogues,No OCR used; no unverified URL recorded.,2026-08-11
1413,001,HERACLITUS Paradox.,De incredibilibus,"De incredibilibus, ed. N. Festa, Palaephati Περὶ ἀπίστων [Mythographi Graeci 3.2. Leipzig: Teubner, 1902]: 73–87. Cod: 1,762: Paradox.",base-3 exact TLG-id lookup; targeted IA query if negative,No exact TLG path found locally; targeted external catalog search pending.,,,,,,high,EDITION_IDENTIFIED,search item-level catalogues,No OCR used; no unverified URL recorded.,2026-08-11
1414,001,HERACLITUS Phil.,Allegoriae (= Quaestiones Homericae),"Allegoriae (= Quaestiones Homericae), ed. F. Buffière, Héraclite. Allégories d'Homère, Paris: Les Belles Lettres, 1962: 1–88. Cod: 14,285: Comm., Myth.",base-3 exact TLG-id lookup; targeted IA query if negative,Exact TLG work path found locally; edition/extent must be checked.,sources/upstream/first1kgreek/data/tlg1414/tlg001/__cts__.xml,See upstream repository license.,,,,high,TEXT_OPEN_UNVERIFIED,inspect CTS metadata and license,Individual exact-ID match; no OCR used.,2026-08-11
1415,001,HERACLITUS Epigr.,"Epigramma, AG: 7.465. Q: 50: Epigr. HERACLITUS Epigr. fiq Heraclitus Ephesius Phil. 6–5 B.C.? AG 9.359, 524. Cf. ANONYMI EPIGRAMMATICI (AG) (0138 001). Cf. PLATO Comic. (0497 005). Cf. POSIDIPPUS Epigr. (1632 001)","Epigramma, AG: 7.465. Q: 50: Epigr. HERACLITUS Epigr. fiq Heraclitus Ephesius Phil. 6–5 B.C.? AG 9.359, 524. Cf. ANONYMI EPIGRAMMATICI (AG) (0138 001). Cf. PLATO Comic. (0497 005). Cf. POSIDIPPUS Epigr. (1632 001).",base-3 exact TLG-id lookup; targeted IA query if negative,No exact TLG path found locally; targeted external catalog search pending.,,,,,,high,EDITION_IDENTIFIED,search item-level catalogues,No OCR used; no unverified URL recorded.,2026-08-11
1417,001,HERMAGORAS Rhet.,Fragmenta,"Fragmenta, ed. D. Matthes, Hermagorae Temnitae testimonia et fragmenta, Leipzig: Teubner, 1962: 56–59. Q: Rhet.",base-3 exact TLG-id lookup; targeted IA query if negative,No exact TLG path found locally; targeted external catalog search pending.,,,,,,high,EDITION_IDENTIFIED,search item-level catalogues,No OCR used; no unverified URL recorded.,2026-08-11
1418,001,HERMAPION Hist.,"Fragmenta, FGrH #658: 3C:206–208. Q: Hist","Fragmenta, FGrH #658: 3C:206–208. Q: Hist.",base-3 exact TLG-id lookup; targeted IA query if negative,No exact TLG path found locally; targeted external catalog search pending.,,,,,,high,EDITION_IDENTIFIED,search item-level catalogues,No OCR used; no unverified URL recorded.,2026-08-11
1419,001,HERMAS Scr. Eccl.,Pastor,"Pastor, ed. M. Whittaker, Die apostolischen Väter I. Der Hirt des Hermas [Die griechischen christlichen Schriftsteller 48, 2nd edn. Berlin: Akademie-Verlag, 1967]: 1–98. Cod: 27,368: Apocalyp.",base-3 exact TLG-id lookup; targeted IA query if negative,Exact TLG work path found locally; edition/extent must be checked.,sources/upstream/first1kgreek/data/tlg1419/tlg001/__cts__.xml,See upstream repository license.,,,,high,TEXT_OPEN_UNVERIFIED,inspect CTS metadata and license,Individual exact-ID match; no OCR used.,2026-08-11
1419,002,HERMAS Scr. Eccl.,Fragmenta (ap. Antiochum),"Fragmenta (ap. Antiochum), ed. Whittaker, op. cit., 101, 103. Q: 248: Apocalyp.",base-3 exact TLG-id lookup; targeted IA query if negative,No exact TLG path found locally; targeted external catalog search pending.,,,,,,high,EDITION_IDENTIFIED,search item-level catalogues,No OCR used; no unverified URL recorded.,2026-08-11
