tlg_author_id,tlg_work_id,relationship,source_urn,evidence_file,verification_scope
0027,006,VERIFIED_COMPLETE_ALTERNATE_EDITION,urn:cts:greekLit:tlg0027.tlg001.perseus-grc2,data/research_batches/tlg_3001_4500_b2_batch_0003.csv,"The Canon explicitly marks 0027.006 as duplicate of 0027.001; the verified TEI is the complete same speech in an earlier edition."
0027,007,VERIFIED_COMPLETE_ALTERNATE_EDITION,urn:cts:greekLit:tlg0027.tlg002.perseus-grc2,data/research_batches/tlg_3001_4500_b2_batch_0003.csv,"The Canon explicitly marks 0027.007 as duplicate of 0027.002; the verified TEI is the complete same speech in an earlier edition."
0027,008,VERIFIED_COMPLETE_ALTERNATE_EDITION,urn:cts:greekLit:tlg0027.tlg003.perseus-grc2,data/research_batches/tlg_3001_4500_b2_batch_0003.csv,"The Canon explicitly marks 0027.008 as duplicate of 0027.003; the verified TEI is the complete same speech in an earlier edition."
0027,009,VERIFIED_COMPLETE_ALTERNATE_EDITION,urn:cts:greekLit:tlg0027.tlg004.perseus-grc2,data/research_batches/tlg_3001_4500_b2_batch_0003.csv,"The Canon explicitly marks 0027.009 as duplicate of 0027.004; the verified TEI is the complete same speech in an earlier edition, preserving the spurious attribution flag."
0079,002,VERIFIED_COMPLETE_HOST_WITNESS,urn:cts:greekLit:tlg4003.tlg002.1st1K-grc1,data/research_batches/tlg_0001_1500_b5_cont279_checkpoint_01_0079_002.csv,"The licensed host preserves the full Canon range, printed pages 572–573, with matching headings and page breaks."
0224,002,VERIFIED_COMPLETE_HOST_WITNESS,urn:cts:greekLit:tlg2034.tlg027.1st1K-grc1,data/research_batches/tlg_0001_1500_b5_cont266_checkpoint_01_0224_002.csv,"The licensed Porphyry/Cyril host contains the Canon's sole fragment and explicitly names Menedemus of Pyrrha and Philocrates."
1129,002,VERIFIED_COMPLETE_ALTERNATE_EDITION,urn:cts:greekLit:tlg1129.tlg001.1st1K-grc1,data/research_batches/tlg_3001_4500_b3_batch_0003.csv,"The verified TEI contains the same complete De barbarismo et soloecismo; its source edition differs from the Canon's Nauck 1867 edition."
1504,002,VERIFIED_COMPLETE_HOST_WITNESS,urn:cts:greekLit:tlg0087.tlg001.1st1K-grc1,data/research_batches/tlg_0001_1500_b5_cont268_checkpoint_01_1504_002.csv,"The two licensed Herodian hosts preserve the two directly attributed Thebaid fragments represented by this Canon record."
1504,002,VERIFIED_COMPLETE_HOST_WITNESS,urn:cts:greekLit:tlg0087.tlg011.1st1K-grc1,data/research_batches/tlg_0001_1500_b5_cont268_checkpoint_01_1504_002.csv,"The two licensed Herodian hosts preserve the two directly attributed Thebaid fragments represented by this Canon record."
1505,001,VERIFIED_COMPLETE_HOST_WITNESS,urn:cts:greekLit:tlg0008.tlg001.perseus-grc4,data/research_batches/tlg_0001_1500_b5_cont272_checkpoint_01_1505_001.csv,"Athenaeus 11.86 explicitly attributes and preserves the complete surviving fragment of Menesthenes' Politica book 4."
2135,002,VERIFIED_COMPLETE_CANON_EDITION_ALTERNATE_IDENTIFIER,urn:cts:greekLit:tlg2135.tlg001.1st1K-grc1,data/research_batches/tlg_1501_3000_b3_checkpoint_01_2131_001_2148_002.csv,"The verified TEI encodes the complete K. Jan 1895 edition and page range cited by the Canon under a different work identifier."
2136,002,VERIFIED_COMPLETE_CANON_EDITION_ALTERNATE_IDENTIFIER,urn:cts:greekLit:tlg2136.tlg001.1st1K-grc1,data/research_batches/tlg_1501_3000_b3_checkpoint_01_2131_001_2148_002.csv,"The verified TEI encodes the complete K. Jan 1895 edition and page range cited by the Canon under a different work identifier."
2137,002,VERIFIED_COMPLETE_CANON_EDITION_ALTERNATE_IDENTIFIER,urn:cts:greekLit:tlg2137.tlg001.1st1K-grc1,data/research_batches/tlg_1501_3000_b3_checkpoint_01_2131_001_2148_002.csv,"The verified TEI encodes the complete K. Jan 1895 edition and page range cited by the Canon under a different work identifier."
2178,007,VERIFIED_COMPLETE_ALTERNATE_EDITION,urn:cts:greekLit:tlg2178.tlg001.1st1K-grc1,data/research_batches/tlg_1501_3000_b3_checkpoint_03_2165_002_2181_002.csv,"The verified TEI contains the complete same Ars rhetorica in the earlier Spengel edition, not the Canon's 2001 edition."
2797,006,VERIFIED_COMPLETE_CANON_EDITION_COMPOSITE_TEI,urn:cts:pta:pta0006.pta001.pta-grc1,data/research_batches/tlg_0001_1500_b5_cont2_checkpoint_01_2274_006_2797_029.csv,"The PTA source description and page breaks explicitly encode Devreesse 1924 pages 512–521, the exact Canon range for the Psalm 37 commentary."
2797,007,VERIFIED_COMPLETE_CANON_EDITION_COMPOSITE_TEI,urn:cts:pta:pta0006.pta001.pta-grc1,data/research_batches/tlg_0001_1500_b5_cont2_checkpoint_01_2274_006_2797_029.csv,"The PTA source description and page breaks explicitly encode MPG 55 columns 711–784, the exact Canon range for Psalms 77–99."
2797,009,VERIFIED_COMPLETE_CANON_EDITION_COMPOSITE_TEI,urn:cts:pta:pta0006.pta001.pta-grc1,data/research_batches/tlg_0001_1500_b5_cont2_checkpoint_01_2274_006_2797_029.csv,"The PTA source description and page breaks explicitly encode MPG 93 columns 1180–1340, the exact Canon range for the catena fragments."
4345,001,VERIFIED_COMPLETE_HOST_WITNESS_ATTRIBUTION_UNCERTAIN,urn:cts:greekLit:tlg5037.tlg004.1st1K-grc1,data/research_batches/tlg_0001_1500_b5_cont259_checkpoint_01_4345_001.csv,"The scholion preserves the complete 18-word witness under Menekrates; its Olynthius/Lycius identity remains uncertain exactly as flagged by the Canon."
4395,001,VERIFIED_COMPLETE_HOST_WITNESS,urn:cts:greekLit:tlg0008.tlg001.perseus-grc4,data/research_batches/tlg_0001_1500_b5_cont275_checkpoint_01_4395_001.csv,"Athenaeus 13.66 preserves the entire surviving attribution, including Menetor's name and the Canon work title."
